pc_time,idx,rssi,rate,sig_mode,mcs,bw,noise_floor,channel,local_us,n,csi
1782944589.296334,43,-55,11,1,3,1,-90,1,67432576,128,0 0 0 0 0 0 0 0 0 0 0 0 -6 -3 -6 -3 -6 -4 -6 -4 -5 -4 -6 -4 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -4 -6 -4 -7 -5 -7 -4 -7 -5 -7 -4 -6 -4 -7 -4 -7 -4 -7 -4 -7 -3 -7 -4 -7 -3 -7 -3 -7 -3 -7 0 0 -3 -7 -3 -6 -3 -7 -4 -6 -4 -6 -4 -7 -4 -6 -4 -6 -4 -6 -5 -6 -5 -6 -5 -6 -5 -5 -5 -5 -6 -5 -7 -6 -6 -6 -7 -6 -7 -6 -8 -6 -7 -6 -8 -6 -8 -6 -9 -8 -9 -6 -10 -6 0 0 0 0 0 0 0 0 0 0
1782944591.293355,44,-58,11,1,6,1,-90,1,69431380,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -1 6 -1 6 0 7 0 6 0 6 1 6 2 6 2 6 2 6 3 7 2 6 3 6 4 6 3 6 3 6 4 6 4 6 4 6 4 6 5 6 4 6 4 6 5 6 5 5 4 5 5 0 0 5 5 5 4 5 4 5 4 5 4 5 4 5 3 5 3 5 3 6 3 6 2 6 2 6 2 7 2 7 1 8 1 7 2 8 2 8 1 8 1 9 1 10 0 10 1 10 1 11 1 11 1 0 0 0 0 0 0 0 0 0 0
1782944593.304962,45,-57,11,1,5,1,-90,1,71438937,128,0 0 0 0 0 0 0 0 0 0 0 0 5 4 4 4 4 5 3 5 3 6 3 5 3 6 2 6 2 6 2 6 1 7 2 6 1 6 1 7 1 7 1 7 1 7 1 7 1 7 0 7 1 7 0 7 0 7 0 7 0 7 0 7 0 0 0 6 0 6 1 6 1 7 1 6 1 6 1 6 2 6 2 6 2 6 3 6 3 6 3 5 3 6 4 5 4 6 5 6 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 0 0 0 0 0 0 0 0 0 0
1782944595.302384,46,-55,11,1,5,1,-90,1,73443193,128,0 0 0 0 0 0 0 0 0 0 0 0 1 -6 1 -6 2 -7 2 -6 3 -7 3 -6 3 -6 4 -6 4 -6 4 -5 5 -6 5 -6 5 -5 6 -6 5 -5 6 -5 5 -5 5 -5 6 -5 6 -6 6 -5 6 -5 6 -5 6 -4 5 -4 6 -4 0 0 5 -5 5 -5 5 -5 5 -5 4 -5 4 -5 4 -5 4 -6 4 -6 4 -6 4 -6 3 -7 3 -6 3 -6 3 -7 3 -8 3 -8 3 -9 2 -9 2 -9 1 -10 2 -11 2 -11 3 -10 3 -10 2 -11 0 0 0 0 0 0 0 0 0 0
1782944597.314311,47,-56,11,1,5,1,-90,1,75449721,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -3 6 -2 6 -2 6 -1 6 -1 7 -1 6 0 7 0 7 0 7 1 6 0 7 1 7 2 7 1 7 2 6 3 7 2 6 2 7 3 7 3 7 3 7 3 6 3 6 3 6 3 6 3 0 0 6 2 6 2 6 3 6 3 6 2 6 2 6 2 6 2 7 2 6 1 6 1 7 1 7 0 7 0 7 0 7 -1 7 -1 8 -1 8 -1 9 -1 9 -2 9 -1 9 -2 10 -2 10 -2 11 -3 0 0 0 0 0 0 0 0 0 0
1782944599.320873,48,-57,11,1,6,1,-90,1,77455011,128,0 0 0 0 0 0 0 0 0 0 0 0 5 -4 5 -4 5 -3 6 -3 6 -3 6 -2 6 -2 6 -2 7 -2 7 -1 7 -1 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 1 7 1 7 1 7 1 7 2 7 1 7 1 0 0 7 1 7 1 6 1 7 1 6 1 6 1 6 0 7 0 6 0 6 0 7 -1 6 -1 6 -2 7 -1 7 -2 7 -2 8 -2 8 -3 7 -2 8 -4 8 -3 8 -4 9 -4 9 -3 9 -4 10 -5 0 0 0 0 0 0 0 0 0 0
1782944601.321557,49,-59,11,1,6,1,-90,1,79461000,128,0 0 0 0 0 0 0 0 0 0 0 0 6 1 6 1 6 1 6 2 6 3 6 3 6 3 6 4 6 4 5 5 5 5 6 5 5 6 5 5 5 6 5 6 5 6 5 6 5 7 4 7 4 6 4 6 4 6 4 6 4 6 4 6 0 0 3 6 4 6 3 6 4 6 4 5 4 5 4 5 4 5 4 5 4 4 4 4 5 4 5 3 6 3 6 3 6 3 7 3 7 3 7 3 8 3 9 2 8 3 9 3 9 3 10 2 10 2 0 0 0 0 0 0 0 0 0 0
1782944603.331847,50,-58,11,1,5,1,-90,1,81468270,128,0 0 0 0 0 0 0 0 0 0 0 0 3 -6 3 -6 4 -5 5 -6 5 -6 5 -5 5 -5 6 -5 6 -5 6 -4 6 -4 7 -4 7 -3 7 -3 7 -3 7 -3 7 -2 8 -3 7 -3 7 -3 7 -3 7 -3 7 -2 7 -2 7 -2 7 -2 0 0 7 -2 7 -2 6 -2 7 -2 6 -2 6 -2 6 -3 6 -3 5 -3 6 -3 5 -4 5 -4 5 -5 5 -5 5 -5 5 -5 5 -6 5 -7 5 -7 5 -7 6 -7 5 -8 6 -8 7 -9 6 -9 6 -10 0 0 0 0 0 0 0 0 0 0
1782944605.335934,51,-55,11,1,6,1,-90,1,83472819,128,0 0 0 0 0 0 0 0 0 0 0 0 6 -2 6 -1 7 -1 6 0 7 1 6 0 7 1 7 1 7 1 7 2 6 2 7 3 7 3 7 4 7 3 7 3 6 4 7 4 7 4 6 4 7 4 6 4 6 4 6 5 6 4 5 4 0 0 5 3 5 4 5 3 6 3 5 3 5 2 6 2 6 1 5 1 7 2 6 2 6 1 6 0 6 1 7 0 7 0 7 0 7 -1 8 -1 8 -2 8 -2 8 -2 9 -2 9 -1 9 -2 9 -3 0 0 0 0 0 0 0 0 0 0
1782944607.333907,52,-56,11,1,5,1,-90,1,85478858,128,0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -4 4 -5 4 -5 4 -5 3 -6 3 -6 3 -6 3 -6 2 -6 2 -6 2 -7 2 -7 1 -7 2 -7 2 -7 1 -7 1 -7 1 -8 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 -7 1 0 0 -7 1 -7 1 -7 1 -7 1 -7 1 -7 2 -7 2 -7 2 -7 2 -7 2 -7 3 -7 3 -7 3 -7 4 -7 4 -7 4 -7 5 -8 5 -8 5 -7 5 -8 6 -9 7 -8 6 -9 7 -9 7 -10 7 0 0 0 0 0 0 0 0 0 0
1782944609.338175,53,-57,11,1,5,1,-90,1,87486058,128,0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 1 5 1 5 2 5 2 5 2 5 3 5 3 5 3 5 4 5 4 4 4 4 4 5 4 4 4 5 5 4 5 4 4 5 4 4 5 4 5 4 5 4 5 4 5 4 5 4 5 0 0 4 4 4 5 4 5 4 4 4 5 4 4 4 4 5 4 5 3 6 3 6 3 6 2 5 3 6 3 7 2 7 2 7 3 8 2 8 3 8 2 9 2 9 2 10 2 10 2 10 2 10 3 0 0 0 0 0 0 0 0 0 0
1782944611.351132,54,-57,11,1,5,1,-90,1,89495281,128,0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 3 4 3 4 4 3 4 3 5 3 4 3 5 3 5 3 5 3 5 3 5 3 5 3 5 2 6 2 5 2 6 2 6 2 6 2 6 2 6 1 6 2 6 1 6 1 6 1 6 0 0 1 6 1 6 1 6 1 6 2 5 2 6 2 5 2 5 2 6 3 5 3 5 3 5 4 5 4 6 4 6 4 6 4 5 5 6 5 6 6 7 6 6 6 8 7 6 7 7 7 7 8 8 0 0 0 0 0 0 0 0 0 0
1782944613.354493,55,-58,11,1,6,1,-90,1,91496611,128,0 0 0 0 0 0 0 0 0 0 0 0 -5 -3 -5 -4 -5 -4 -5 -4 -5 -4 -5 -5 -4 -5 -4 -6 -4 -6 -4 -5 -4 -6 -4 -6 -4 -6 -4 -6 -4 -7 -2 -7 -3 -7 -3 -6 -3 -7 -3 -7 -3 -7 -2 -7 -2 -7 -3 -7 -2 -7 -2 -7 0 0 -2 -7 -2 -7 -2 -7 -3 -6 -3 -6 -3 -6 -3 -6 -3 -6 -3 -7 -4 -6 -4 -6 -5 -6 -4 -6 -5 -6 -5 -6 -6 -6 -6 -6 -6 -6 -7 -7 -7 -6 -7 -7 -8 -7 -8 -7 -8 -7 -9 -7 -10 -8 0 0 0 0 0 0 0 0 0 0
1782944615.372327,56,-58,11,1,6,1,-90,1,93512331,128,0 0 0 0 0 0 0 0 0 0 0 0 5 1 5 1 5 2 5 2 4 3 5 3 4 3 4 3 4 3 4 4 4 4 4 4 3 4 3 4 3 4 3 4 3 5 3 4 3 4 3 5 3 5 3 5 3 5 3 5 3 5 3 5 0 0 3 5 3 5 3 4 3 5 3 4 3 4 3 4 3 4 4 4 4 4 4 4 4 4 4 4 5 4 5 3 6 4 6 4 6 4 7 4 8 4 7 4 8 4 8 4 8 5 9 5 9 5 0 0 0 0 0 0 0 0 0 0
1782944617.369198,57,-58,11,1,7,1,-90,1,95508471,128,0 0 0 0 0 0 0 0 0 0 0 0 4 3 3 4 3 4 2 4 3 5 2 4 2 5 2 5 1 6 1 5 1 5 1 6 0 6 0 6 0 6 0 6 0 6 0 5 0 6 0 6 -1 6 0 6 0 6 -1 6 0 6 -1 6 0 0 0 6 0 5 0 6 0 5 0 5 0 5 1 6 1 5 1 5 1 6 1 6 2 6 2 6 3 6 3 6 3 6 4 7 3 6 5 7 5 7 4 7 5 8 5 8 5 9 5 9 6 9 0 0 0 0 0 0 0 0 0 0
